Product_id,Category,Product Title,Product Description,Brand,Pack Size Or Quantity,Mrp,Price,Offers,Stock Availibility,Image Urls
1,All Purpose Cleaners,"Smart Home Perfumed Herbal Phenyle - Lemon, 5 L Plastic Can ","About|Smart Home Perfumed Herbal Phenyle has an advanced cleaning formula and can be used for cleaning floors, kitchen platforms, toilets, bathroom, sinks, tubs, tiles, marbles, granites with minimum efforts. The concentrated disinfectant kills up to 99.9% germs and instantly removes tough stains and dirt and gives a shine and whiteness to the floor. Further, it leaves behind a pleasant and natural fragrance that freshens up the complete environment. It is recommended to keep out of the reach of children.|Ingredients|Rosin, Castor Oil, Pine Oil, DM Water, Potassium Hydroxide, Perfume.|How to Use|Add 100 ml of smart home herbal phenyl to 10 lt of water and stir well to dilute it properly. Keep out of the reach of children. If swallowed, take medical advice immediately.|Other Product Info|EAN Code: &&-EAN-&&  Manufacturer Name and Address: Vaishnavi Industries, Muddinapalya, Bangalore -91,  Marketed by: Cubix Marketing  Best Before &&-PSL-&& days from the date of delivery  For queries call 1860 123 1000",Smart Home,5 L ,249,249,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/40146222_1-smart-home-perfumed-herbal-phenyle-lemon.jpg
2,All Purpose Cleaners,"Bhavi Boric Acid, 400 g ","About|Boric acid, also called hydrogen borate, boracic acid, orthoboric acid and acidum boricum|Other Information|For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com|How to Use|often used as an antiseptic",Bhavi,400 g ,350,350,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/40109793_1-bhavi-boric-acid.jpg
3,All Purpose Cleaners,"Bubblenut Wash Multipurpose Cleaner - Natural, 500 ml ","About|Regular surface cleaners contain surfactants and fragrances that can irritate skin, cause respiratory problems and pollute the environment. BubbleNut Wash contains saponin, a natural surfactant extracted from soapnuts that can take care of household cleaning needs.|Composition|Saponin Extract From Soapnut, Water, Essential Oil, Gum, Preservatives|How to Use|1. For glass and mirror, spray directly and wipe with wiper or tissue paper. | 2. For TV and laptops, spray on soft cotton and wipe gently. | 3. For dining tables, kitchen slabs and cook stoves, spray directly and wipe with cloth piece. | 4. Avoid spraying on eyes as it can cause irritation.|Other Product Info|EAN Code: 40136567  Manufactured & Marketed by: HarvestWild Organic Solutions Pvt Ltd, # 106, OB Chudahalli, Kanakapura main road, Udayapura, Bangalore 560082  Best before 28-07-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Bubblenut Wash,500 ml ,129,129,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/40136567_1-bubblenut-wash-multipurpose-cleaner-natural.jpg
4,All Purpose Cleaners,"Venyaa Phenyl - Jasmine, Fresh, 1.1 L ","About|Venyaa Herbal Phenyl has a unique formula that does not harm the floor surface. It gives a good fragrance and cleans as it disinfects, kills viruses and bacteria. It is purely herbal and is sustainable for clearing all types of stains.|Specification|• Brand - Venyaa  • Body Material - Plastic  • Capacity - 1. 1 Liter  • Type - Floor Cleaner  • Shelf Life - 12 Months|Other Product Info|EAN Code: 8908004786000  Manufacturer Name & Address: Venyaa Chemicals, S.no 8/1 Thirupalyanear government hospital Bommasandra Industrial area Bangalore 560099  Best before 28-01-2020  For queries call 1860 123 1000|How to Use|Dilute one part of the cleaner with 50-100 parts of water for powerful disinfection.",Venyaa,1.1 L ,70,70,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/40129816_1-venyaa-phenyl-jasmine-fresh.jpg
5,All Purpose Cleaners,"Nilgiri Liquid Soap - Multi Purpose Cleaner (Green), 1 L Bottle ","About|Nilgiri Natural Liquid Soap is blended with natural essential Oils with Superior soap solution, Nilgiri Natural Liquid Soap Provides Protection against gems to your family, Its natural formula Prevents Mosquitoes insects and germs and makes your environment lively, It deodorize bad smell and keeps the Surrounding Frgrance.|Other Information|For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Supermarket Grocery Supplies Pvt Ltd. No7, Service Road, Domlur 100 Feet Road, Indiranagar, Bangalore 560071. | Email: customerservice@bigbasket.com",Nilgiri,1 L ,80,80,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/40020158_3-nilgiri-liquid-soap-multi-purpose-cleaner-green.jpg
6,Baby Bath & Hygiene,"Mee Mee Cotton Balls, 100 pcs Pack of 2 ","About|Mee Mee 100% Pure Cotton Buds Cotton Balls Are Carefully Made To The Highest Safety Standards. They Are Ideal For Cosmetic Use And Baby Care Ideal For Cleaning Baby Care, Skin Care And Family Needs Makes Application Of Cleanser, Lotion Or Cream Easy 100% Natural Cotton Tips And Balls Versatile And Strong|Other Product Info|EAN Code: 8907233231039  Manufactured & Marketed by: Me'N'Moms Pvt Ltd. Amar Aprt. Khar (W), Mum-52 (India) , Customer Care No. +91 8080335566 , Email: customercare@menmoms.co.in  Best before 26-07-2029  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Mee Mee,100 pcs ,338,338,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/40022468_2-mee-mee-cotton-balls.jpg
7,Baby Bath & Hygiene,"Pigeon Baby Milky Lotion - Sakura, 200 ml ","About|It keeps the skin of the babies moisturised and soft. It is suitable for the sensitive skin of your baby. It is enriched with sakura extract to help moisturise dry and rough skin. It maintains the pH balance and free from all the colouring agents. It is paraben free and also hypoallergenic.|Ingredients|Water (Aqua), Mineral Oil,Glycerin, Butylene Glycol, Octyldodeceth-20, Olea Europaea (Olive) Fruit Oil, Phenoxyethanol, Polyacrylamide, Behenyl Alcohol, Cetyl Palmitate, Glyceryl Stearate, C13-14 Isoparaffin, Sorbitan Stearate, Fragrance,Laureth-7, Ethylhexylglycerin, Sodium Citrate, Citric Acid, Prunus Yedoensis Leaf Extract|How to Use|Gently apply and massage evenly onto the body and the face of your baby.|Other Product Info|EAN Code: &&-EAN-&&  Manufacturer Name and Address: PIGEON INDUSTRIES (THAILAND) CO. LTD 700/103 Moo 1, Amata Nakorn Industrial Estate, Tambol Ban Kao, Phan Thong District, ChonBuri 20160, Thailand  Marketed by: Pigeon India Pvt ltd 2nd floor, suncity business tower, Golf course road, Gurgoan - Harayana - 122002  Country of Origin: Thailand  Best Before &&-PSL-&& days from the date of delivery  For queries call 1860 123 1000",Pigeon,200 ml ,399,239.4,40%,TRUE,https://www.bigbasket.com/media/uploads/p/l/40153310_1-pigeon-baby-milky-lotion-sakura.jpg
8,Baby Bath & Hygiene,"Quick Dry Baby Bed Protector - Plain Print, Pink, 1 pc ","About the Product|These bed protectors for babies bed from Quick Dry are quick absorbent that makes it dry faster. It protects the baby against the dust mites, bacteria and allergens. This leakproof protector is soft, cosy and smooth. It can be easily washed in the washing machine. It comes in a variety of colours with attractive print designs and sizes.|Other Product Info|EAN Code: 40022181  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com|Specification|• Brand: Quick Dry• Product Type: Dry Sheet• Product Material: TPU Laminated Polar Fleece• Colour: Pink• Dimension: Small - 70 X 50 cms• Waterproof: Yes• Microfibre GSM: 221• Absorbancy Percentage: 100• Washing Machine Safe: Yes• Age Limit: 0-5• Reusable: Yes• Additional Features: Leak Resistant• Package content: 1 Pc..• Brand: Quick Dry.• Product Type: Dry Sheet.• Product Material: TPU Laminated Polar Fleece.• Colour: Pink.• Dimension: Small - 70 X 50 cms.• Waterproof: Yes.• Microfibre GSM: 221.• Absorbancy Percentage: 100.• Washing Machine Safe: Yes.• Age Limit: 0-5.• Reusable: Yes.• Additional Features: Leak Resistant.• Package content: 1 Pc.",Quick Dry,1 pc ,170,122,28%,TRUE,https://www.bigbasket.com/media/uploads/p/l/40022181_3-quick-dry-baby-bed-protector-plain-print-pink.jpg
9,Bath & Shower, cadila skinshine soap - Pack of 3 - Vaanavil Agencies ,Premium fairness soap and Prevent acne Skinshine soap 75 gm each. Help reduce the appearance of dark areas. Helps tighten skin Your skin's natural moisture to keep it young For daily cleansing oily & acen skin Premium fairness soap and Prevent acne,CADILA,NA,225,170,24.44%,TRUE,https://rukminim1.flixcart.com/image/416/416/jkzrc7k0/soap/u/c/w/3-1-aht028-cadila-skinshine-original-imaf87zqtuhuf6x7.jpeg?q=70
10,Bath & Shower," iwill Premium Walk In Sky, Walk In Sky, Mr Wild, Devine Fancy Attar 32 ml Pack ","All the perfumes are 100% Original and long lasting. These are creative mix of floral and fruity ingredients, and a soft confluence of contrasting notes. These are well balanced fragrance with excellent sillage and longevity. These unique fragrances keeps you refresh all day long. After wearing these fragrances makes an impression without words. Pamper yourself and near and dear ones with this exclusive fragrances on special occassions. Fragrance comes in a classy transparent bottle with a roll on applicator.",iwill,NA,297,297,NA,TRUE,https://images-na.ssl-images-amazon.com/images/I/71Zw69pFy3L._SL1279_.jpg
